#{"t_start": 1768249545.5863633, "env_id": "SpaceInvaders-v0"}
r,l,t
185.0,831,27.744967
45.0,638,28.287968
120.0,790,28.942189
120.0,670,29.492831
120.0,729,30.091951
215.0,997,30.920025
50.0,519,31.348076
550.0,1284,32.419833
20.0,397,32.721147
140.0,680,33.28875
255.0,1030,34.138851
45.0,446,34.4939
170.0,974,35.304977
105.0,529,35.705291
150.0,917,37.979046
140.0,716,39.231337
215.0,747,40.591028
180.0,661,41.786254
115.0,497,42.68775
65.0,567,43.706553
40.0,697,44.918754
230.0,1309,47.343233
135.0,1114,49.459898
130.0,789,50.912959
170.0,828,52.459748
95.0,633,53.621158
50.0,478,54.480734
225.0,1042,56.411183
60.0,503,57.316897
110.0,831,58.840937
80.0,384,59.52996
75.0,493,60.40298
75.0,640,61.548048
120.0,719,62.820731
110.0,716,64.11846
35.0,515,65.013913
70.0,857,66.507153
30.0,392,67.167745
55.0,501,68.055028
265.0,782,69.442028
120.0,931,71.137865
135.0,683,72.390733
65.0,474,73.19142
130.0,543,74.164544
55.0,629,75.280319
410.0,1050,77.220304
65.0,436,77.969897
65.0,332,78.527573
185.0,902,80.215954
205.0,1214,82.478842
225.0,826,84.03546
80.0,786,85.535539
150.0,581,86.566871
55.0,389,87.253481
15.0,303,87.819734
195.0,723,89.171206
155.0,988,91.006988
30.0,399,91.664943
50.0,366,92.317542
105.0,463,93.102181
240.0,925,94.765417
20.0,324,95.326514
125.0,854,96.875068
490.0,1348,99.365994
45.0,437,100.129032
110.0,620,101.231841
290.0,1120,103.275221
80.0,337,103.85008
100.0,705,105.083776
120.0,821,106.596495
115.0,530,107.529508
105.0,655,108.717772
395.0,1255,111.162873
440.0,1023,113.11021
115.0,884,114.763863
115.0,705,116.079931
55.0,497,116.970717
95.0,699,118.284867
125.0,633,119.453453
430.0,1022,121.399379
140.0,839,122.965513
20.0,388,123.642686
180.0,802,125.153779
80.0,526,126.132185
25.0,564,127.168508
30.0,508,128.108659
140.0,736,129.495744
160.0,697,130.830425
150.0,803,132.379479
195.0,963,134.260787
75.0,801,135.784039
160.0,790,137.306411
165.0,811,138.904247
25.0,348,139.520943
120.0,404,140.264072
25.0,429,141.010767
85.0,513,141.946533
370.0,956,143.840615
110.0,587,144.922812
55.0,523,145.891199
50.0,620,146.990716
80.0,565,148.035943
100.0,695,149.366163
70.0,524,150.409297
105.0,661,151.694716
50.0,326,152.300816
110.0,366,152.994271
75.0,580,154.085423
55.0,413,154.828734
35.0,397,155.549976
150.0,885,157.248283
75.0,541,158.267001
125.0,674,159.531118
355.0,959,161.446281
55.0,580,162.521991
445.0,1152,164.747921
55.0,392,165.425519
160.0,767,166.85878
155.0,683,168.10788
70.0,672,169.417729
50.0,549,170.403615
40.0,462,171.307217
90.0,422,172.168276
110.0,614,173.436723
130.0,651,174.698509
150.0,794,192.293489
105.0,954,194.123282
115.0,463,194.987188
200.0,710,196.365416
10.0,585,197.441848
350.0,895,199.151294
235.0,970,201.035463
95.0,645,202.27064
120.0,529,203.271798
210.0,844,204.856795
115.0,711,206.228889
105.0,679,207.51955
110.0,868,209.18017
240.0,1139,211.38914
385.0,1046,213.384723
40.0,507,214.347946
60.0,469,215.220283
295.0,1059,217.272865
95.0,659,218.478284
35.0,371,219.176877
440.0,1014,221.125677
95.0,618,222.283349
55.0,675,223.581281
30.0,463,224.374872
185.0,757,225.82717
40.0,586,226.922626
20.0,553,228.001726
320.0,1423,230.787738
55.0,365,231.440957
120.0,766,232.910126
120.0,692,234.248713
355.0,1243,236.624687
280.0,1031,238.653086
80.0,543,239.672744
295.0,1025,241.688686
180.0,782,243.166814
360.0,1062,245.252452
135.0,617,246.428445
35.0,384,247.131681
135.0,842,248.797082
90.0,389,249.539673
120.0,749,251.019924
15.0,601,252.127632
65.0,644,253.36897
30.0,698,254.701417
155.0,523,255.686917
130.0,809,257.325778
165.0,722,258.696726
120.0,785,260.212788
265.0,1039,262.259307
180.0,671,263.637564
140.0,682,264.980434
195.0,691,266.301913
50.0,473,267.206552
15.0,653,268.514088
110.0,838,270.157667
50.0,395,270.915118
245.0,825,272.602269
140.0,585,273.67899
295.0,1208,275.997275
30.0,331,276.578314
20.0,347,277.192955
50.0,530,278.230713
70.0,405,279.015297
55.0,671,280.324415
70.0,644,281.587285
140.0,991,283.519951
520.0,1395,286.245951
450.0,1072,288.334208
110.0,692,289.674041
265.0,746,291.085786
170.0,927,292.980226
125.0,700,294.315596
65.0,522,295.293251
105.0,373,296.007853
80.0,479,296.936534
150.0,962,298.84478
45.0,417,299.612954
55.0,383,300.316173
200.0,830,301.902975
110.0,454,302.758123
240.0,1013,304.818285
35.0,344,305.444665
130.0,772,307.003288
35.0,341,307.615447
155.0,614,308.763005
115.0,574,309.879521
155.0,669,311.189483
90.0,529,312.239771
115.0,694,313.566783
510.0,1079,315.730704
90.0,514,316.733217
80.0,509,317.723875
20.0,337,318.356463
310.0,991,320.29003
165.0,721,321.70425
300.0,847,323.381193
190.0,1014,325.377473
50.0,486,326.33962
15.0,399,327.146598
235.0,984,329.138599
105.0,398,329.867341
140.0,682,331.18364
180.0,714,332.544536
70.0,619,333.655883
225.0,1107,335.784635
125.0,841,337.443266
185.0,790,339.00853
165.0,887,340.763849
85.0,398,341.537457
230.0,769,343.043267
310.0,1127,345.605198
50.0,352,346.445675
25.0,449,347.434553
570.0,1168,350.125542
200.0,674,351.630618
105.0,642,353.16294
65.0,401,353.979803
90.0,668,355.47247
145.0,747,357.101153
35.0,359,357.885759
80.0,438,375.559983
110.0,901,377.574339
125.0,861,379.509279
185.0,608,380.878002
530.0,1310,383.981391
70.0,412,384.855534
75.0,633,386.231267
180.0,686,387.736664
125.0,661,389.195822
70.0,641,390.627576
90.0,643,392.084795
80.0,483,393.113898
355.0,692,394.603141
365.0,1236,397.387782
150.0,1220,400.085359
80.0,636,401.443734
300.0,1059,403.840297
300.0,744,405.502382
170.0,960,407.648913
65.0,543,408.873159
135.0,799,410.601506
255.0,999,413.066998
140.0,646,414.478019
30.0,441,415.393642
125.0,630,416.835708
120.0,375,417.650529
170.0,673,419.123656
45.0,608,420.456497
65.0,491,421.479523
390.0,792,423.243776
250.0,981,425.441931
65.0,626,426.814364
100.0,645,428.222231
105.0,460,429.186318
105.0,412,430.110081
30.0,404,430.919148
35.0,494,431.98033
125.0,639,433.442386
120.0,584,434.677714
90.0,626,436.024362
100.0,629,437.345858
20.0,419,438.290061
50.0,374,439.099156
80.0,558,440.343309
85.0,638,441.791646
150.0,672,443.399586
40.0,548,444.598481
215.0,1003,446.887579
90.0,687,448.378499
160.0,653,449.811539
140.0,719,451.468735
20.0,372,452.227919
170.0,655,453.686159
300.0,981,455.857481
75.0,458,456.864558
125.0,583,458.12391
235.0,1448,461.600361
30.0,478,462.523307
90.0,618,463.75649
110.0,699,465.161336
270.0,812,466.756243
300.0,931,468.560651
75.0,443,469.432961
125.0,618,470.640673
60.0,549,471.681571
75.0,444,472.489536
95.0,553,473.581167
45.0,388,474.280335
65.0,691,475.679841
0.0,342,476.303611
50.0,351,476.963126
100.0,581,478.134304
250.0,1214,480.627495
70.0,655,481.941071
235.0,791,483.544297
90.0,622,484.776752
135.0,790,486.406002
150.0,778,487.978818
85.0,359,488.653895
270.0,1001,490.696008
125.0,536,491.779913
310.0,806,493.413224
135.0,790,494.994687
370.0,858,496.706628
130.0,503,497.680736
65.0,485,498.620019
305.0,981,500.741316
40.0,476,501.793565
395.0,1062,504.389527
30.0,361,505.216017
90.0,439,506.128478
70.0,490,507.15271
70.0,425,508.075873
175.0,645,509.533185
85.0,676,511.052104
210.0,1130,513.641442
30.0,433,514.608331
185.0,654,516.071261
510.0,875,518.100746
300.0,666,519.622519
280.0,995,521.731197
285.0,1127,524.014834
195.0,953,525.892437
45.0,323,526.49427
160.0,805,528.112058
150.0,681,529.435226
55.0,506,530.423656
475.0,986,532.507048
340.0,979,534.567008
360.0,1287,537.257064
185.0,588,538.46229
145.0,630,539.67416
150.0,665,541.004462
85.0,577,542.152914
300.0,806,543.786121
165.0,799,545.393352
70.0,737,546.84254
50.0,523,547.886704
105.0,394,548.618801
100.0,578,549.762316
230.0,1037,551.846893
245.0,808,553.535237
70.0,466,554.410083
70.0,388,555.147679
45.0,389,555.913178
420.0,970,569.679315
340.0,1163,572.010752
215.0,866,573.94402
90.0,439,574.828636
115.0,751,576.362216
275.0,871,578.121681
30.0,442,578.933127
135.0,499,579.922113
95.0,544,581.026434
110.0,589,582.187144
155.0,813,583.822692
155.0,665,585.141897
230.0,641,586.39438
95.0,392,587.129048
180.0,799,588.762458
50.0,345,589.438053
45.0,508,590.423761
540.0,1349,593.241729
135.0,600,594.484931
60.0,376,595.24104
55.0,457,596.107976
240.0,706,597.475024
125.0,556,598.558619
215.0,649,599.806183
225.0,646,601.141314
70.0,432,601.922433
130.0,810,603.52311
110.0,626,604.716457
160.0,664,606.053809
175.0,680,607.400557
350.0,848,609.112919
100.0,656,610.389609
95.0,533,611.446158
30.0,359,612.106827
65.0,394,612.848065
105.0,582,613.990005
150.0,649,615.301605
55.0,447,616.148976
320.0,921,618.063494
55.0,522,619.095843
115.0,692,620.515091
70.0,527,621.607643
120.0,610,622.90171
250.0,1239,625.444158
25.0,414,626.223252
85.0,547,627.290631
195.0,941,629.156598
140.0,611,630.354774
30.0,367,631.072039
75.0,354,631.744454
195.0,910,633.624548
65.0,511,634.636226
190.0,794,636.245016
50.0,361,636.937155
25.0,426,637.763269
50.0,622,638.997995
135.0,768,640.543236
210.0,875,642.324409
140.0,652,643.646081
280.0,821,645.299332
30.0,381,646.021652
185.0,665,647.353421
290.0,828,649.06463
80.0,484,650.039352
160.0,926,651.935358
85.0,751,653.473676
55.0,507,654.466342
135.0,498,655.438808
155.0,645,656.78238
35.0,301,657.354328
230.0,637,658.604146
480.0,1066,660.802105
225.0,653,662.141583
85.0,427,662.952225
360.0,942,664.866121
270.0,836,666.620671
45.0,504,667.652932
130.0,561,668.72669
330.0,1070,670.992684
60.0,356,671.707281
330.0,918,673.620492
255.0,1037,675.772901
290.0,921,677.650589
65.0,452,678.526465
100.0,515,679.54521
70.0,431,680.400325
55.0,520,681.425235
75.0,554,682.523604
255.0,803,684.174098
135.0,764,685.760543
55.0,345,686.45911
125.0,650,687.763047
50.0,394,688.548451
140.0,569,689.668115
150.0,753,691.217922
280.0,779,692.79942
65.0,461,693.719205
125.0,521,694.811844
175.0,696,696.251824
110.0,508,697.265803
90.0,520,698.255963
155.0,817,699.949259
160.0,775,701.589084
50.0,490,702.606226
95.0,663,703.97639
120.0,591,705.179813
80.0,511,706.162469
55.0,381,706.926452
200.0,623,708.168753
25.0,328,708.778444
85.0,695,710.199539
45.0,328,710.807629
40.0,449,711.676262
105.0,620,712.973157
205.0,651,714.275559
150.0,697,715.690477
530.0,1223,718.249569
110.0,522,719.339229
95.0,476,720.254411
200.0,895,722.095286
65.0,511,723.115707
350.0,1209,725.691783
95.0,523,726.728515
70.0,459,727.614487
75.0,447,728.532105
185.0,693,729.934954
235.0,1061,732.211972
15.0,435,733.096873
150.0,630,734.391095
750.0,1380,737.373476
255.0,1058,739.531523
85.0,458,740.435657
80.0,493,741.44928
225.0,1015,757.879142
220.0,1184,760.363632
95.0,596,761.580769
75.0,357,762.244803
95.0,472,763.170953
65.0,375,763.942161
165.0,738,765.485982
95.0,798,767.121215
95.0,532,768.219185
220.0,684,769.598676
120.0,466,770.698542
90.0,579,772.028134
195.0,669,773.693866
10.0,444,774.772498
20.0,422,775.69078
150.0,622,777.154098
350.0,1485,780.836728
180.0,637,782.405602
195.0,689,784.052398
110.0,603,785.422493
290.0,964,787.701591
90.0,642,789.189573
275.0,780,790.981052
225.0,983,793.35643
65.0,625,794.831053
150.0,816,796.824235
150.0,903,798.964035
115.0,701,800.59748
100.0,586,801.944742
115.0,550,803.314645
165.0,730,805.058902
545.0,1195,807.981462
130.0,637,809.478562
160.0,673,811.081946
120.0,886,813.171489
265.0,702,814.96501
480.0,1014,817.452914
160.0,930,819.631985
455.0,1221,822.573342
370.0,1025,825.006665
290.0,965,827.279407
215.0,1002,829.694423
260.0,827,831.667572
225.0,821,833.785595
150.0,867,835.795265
245.0,757,837.56574
615.0,1379,840.903084
95.0,647,842.442307
230.0,1273,845.525421
115.0,611,847.112306
200.0,1135,849.887633
135.0,798,851.797967
105.0,504,852.998967
160.0,809,854.903996
110.0,499,856.058626
180.0,672,857.641152
165.0,627,859.142496
140.0,956,861.436225
360.0,1111,864.239499
540.0,906,866.38031
330.0,1288,869.523399
95.0,675,871.083697
190.0,1003,873.541074
155.0,1095,876.254115
460.0,1321,879.519195
105.0,514,880.703531
160.0,645,882.291335
80.0,394,883.181433
