#{"t_start": 1768249545.6278765, "env_id": "SpaceInvaders-v0"}
r,l,t
30.0,390,27.288854
115.0,709,27.882478
150.0,637,28.452479
410.0,787,29.120694
120.0,662,29.650852
100.0,668,30.190955
105.0,520,30.605252
30.0,331,30.849512
110.0,608,31.368071
140.0,702,31.924686
250.0,1006,32.759143
130.0,970,33.567773
165.0,766,34.203848
280.0,1094,35.12941
225.0,1028,36.970263
20.0,386,37.633367
195.0,968,39.378461
105.0,683,40.614022
65.0,509,41.494235
130.0,811,42.952846
170.0,744,44.292092
50.0,505,45.185649
55.0,584,46.222837
235.0,865,47.842406
55.0,451,48.59232
355.0,768,50.025136
250.0,824,51.616969
360.0,1037,53.567643
735.0,839,55.101452
80.0,444,55.869241
65.0,502,56.719206
60.0,541,57.714408
185.0,606,58.815429
30.0,394,59.522954
140.0,991,61.315995
105.0,511,62.240114
35.0,792,63.661663
90.0,394,64.327458
150.0,639,65.484954
140.0,844,67.001716
260.0,676,68.196006
225.0,962,69.943838
235.0,978,71.722068
70.0,534,72.659759
15.0,580,73.734493
40.0,507,74.632092
290.0,977,76.430009
145.0,716,77.735864
50.0,601,78.835634
10.0,389,79.48619
135.0,658,80.644377
15.0,353,81.246031
15.0,359,81.86921
40.0,651,83.058983
40.0,376,83.712842
50.0,354,84.330489
55.0,484,85.205974
25.0,528,86.132766
115.0,678,87.383151
135.0,703,88.763256
85.0,640,89.931819
70.0,802,91.371389
95.0,624,92.510679
450.0,1330,94.918931
490.0,1073,96.873065
140.0,1258,99.147961
145.0,844,100.679613
180.0,826,102.169489
75.0,512,103.025174
125.0,613,104.155627
210.0,676,105.338301
110.0,489,106.173924
245.0,1051,108.095649
45.0,528,109.072323
50.0,599,110.175717
35.0,516,111.098361
160.0,699,112.4381
180.0,1133,114.626833
170.0,688,115.906896
30.0,397,116.581647
480.0,1040,118.562139
150.0,747,119.961334
140.0,742,121.344353
250.0,1019,123.22311
115.0,621,124.369291
120.0,611,125.514893
405.0,938,127.31302
105.0,460,128.144148
180.0,709,129.494229
50.0,456,130.360326
65.0,625,131.537536
65.0,649,132.79754
340.0,894,134.493349
120.0,817,136.063586
40.0,586,137.130289
35.0,413,137.931001
80.0,498,138.851734
350.0,1151,141.128773
40.0,392,141.807949
80.0,650,143.086497
185.0,944,144.8713
25.0,345,145.475132
215.0,806,146.985704
250.0,1048,148.998599
80.0,534,150.032856
160.0,659,151.348184
145.0,700,152.71122
75.0,511,153.650846
105.0,566,154.708705
150.0,626,155.896061
140.0,735,157.255288
275.0,962,159.142986
305.0,1209,161.575806
65.0,451,162.413964
30.0,460,163.223644
120.0,754,164.598889
35.0,412,165.311499
15.0,432,166.105141
180.0,623,167.268621
110.0,665,168.535434
315.0,746,169.936692
55.0,438,170.800196
90.0,755,172.390315
80.0,500,173.405208
150.0,693,174.725507
55.0,556,191.827493
55.0,417,192.55053
340.0,1038,194.534489
110.0,518,195.472771
460.0,758,196.926751
155.0,1080,199.04427
70.0,522,200.005423
100.0,701,201.303492
35.0,381,201.964586
110.0,554,203.029255
110.0,504,203.912906
120.0,771,205.402361
220.0,1193,207.704624
95.0,616,208.875761
130.0,603,210.020126
80.0,659,211.270624
150.0,607,212.454588
220.0,662,213.718271
160.0,1134,215.916436
240.0,1347,218.588804
65.0,567,219.657938
50.0,506,220.567218
140.0,654,221.779777
75.0,557,222.834939
125.0,488,223.747794
110.0,638,224.908428
430.0,704,226.271708
160.0,585,227.409634
120.0,588,228.560616
90.0,738,229.974121
75.0,580,231.077904
100.0,659,232.358056
50.0,399,233.148976
110.0,693,234.488733
155.0,942,236.280642
145.0,777,237.737562
95.0,674,239.033226
20.0,586,240.116804
385.0,1312,242.67964
115.0,717,244.039914
375.0,1266,246.530447
70.0,358,247.159168
270.0,862,248.828086
75.0,420,249.607677
95.0,616,250.784384
275.0,916,252.544724
25.0,564,253.626517
455.0,1331,256.264612
105.0,363,256.94514
240.0,960,258.825241
75.0,480,259.70523
20.0,688,261.013891
30.0,495,261.955251
55.0,429,262.819884
80.0,483,263.748107
75.0,552,264.870576
335.0,874,266.53795
95.0,562,267.607958
90.0,586,268.752118
140.0,709,270.12215
95.0,560,271.236653
120.0,603,272.430706
95.0,714,273.769995
150.0,651,274.994133
60.0,504,275.921764
175.0,920,277.74807
85.0,531,278.815273
195.0,1067,280.957692
35.0,562,282.019067
305.0,1522,284.956765
80.0,548,286.001424
460.0,957,287.853504
135.0,654,289.094383
195.0,940,290.884254
75.0,401,291.624348
0.0,421,292.371627
45.0,486,293.318769
135.0,1060,295.447764
80.0,398,296.19388
120.0,545,297.206558
145.0,638,298.417223
125.0,718,299.830983
20.0,395,300.568849
35.0,308,301.109856
105.0,466,301.960976
105.0,626,303.186298
170.0,1021,305.2336
105.0,747,306.727154
190.0,928,308.588906
225.0,1348,311.335007
95.0,642,312.625379
150.0,521,313.609788
90.0,494,314.521968
95.0,570,315.613183
30.0,382,316.37841
100.0,617,317.607356
115.0,670,318.92154
75.0,367,319.595155
150.0,658,320.890616
130.0,719,322.310133
280.0,1102,324.492339
155.0,610,325.720018
140.0,616,326.916455
110.0,599,328.112797
125.0,813,329.751314
145.0,720,331.183127
520.0,1036,333.148103
105.0,725,334.529986
210.0,933,336.349188
100.0,884,338.055384
20.0,499,339.018075
115.0,684,340.336867
90.0,694,341.685828
35.0,334,342.280995
65.0,643,343.578969
80.0,579,344.925875
110.0,498,346.039475
110.0,405,346.968383
80.0,680,348.458121
45.0,438,349.442416
185.0,689,350.980323
145.0,713,352.614855
40.0,355,353.44475
5.0,515,354.601704
45.0,394,355.438959
65.0,518,356.505437
285.0,885,358.501913
175.0,1004,377.524826
35.0,516,378.647989
335.0,1116,381.216542
145.0,696,382.863286
155.0,616,384.210464
140.0,539,385.342602
190.0,815,387.079153
90.0,513,388.18633
150.0,664,389.651397
20.0,387,390.448546
100.0,492,391.501203
145.0,652,392.948869
150.0,691,394.482406
120.0,710,396.043882
505.0,1071,398.44653
135.0,654,399.847812
325.0,1121,402.277971
190.0,682,403.817789
225.0,975,405.963964
520.0,1406,409.176192
325.0,803,410.943044
70.0,509,412.043645
45.0,536,413.349598
50.0,627,414.699535
145.0,741,416.299622
80.0,381,417.149254
235.0,1193,419.860406
225.0,837,421.746727
160.0,658,423.168263
190.0,845,425.087881
20.0,321,425.746025
215.0,950,427.84763
20.0,380,428.675941
85.0,519,429.830917
65.0,487,430.888635
140.0,653,432.290899
65.0,501,433.419876
30.0,356,434.158657
85.0,677,435.590804
350.0,849,437.482321
340.0,977,439.742737
50.0,635,441.150728
185.0,898,443.265795
55.0,406,444.164597
85.0,526,445.328589
180.0,685,446.828281
250.0,1026,449.119713
170.0,590,450.445633
45.0,412,451.311193
205.0,1212,454.036706
50.0,389,454.852008
190.0,810,456.653524
75.0,643,458.089392
135.0,510,459.18873
115.0,788,461.095731
75.0,347,461.807873
65.0,674,463.145545
120.0,660,464.405698
80.0,428,465.231838
555.0,1036,467.292425
145.0,637,468.525137
30.0,419,469.287935
80.0,508,470.283203
270.0,1005,472.284991
200.0,828,473.977289
75.0,382,474.691343
10.0,386,475.425836
80.0,679,476.761098
125.0,652,478.043793
80.0,558,479.157252
75.0,345,479.789331
45.0,501,480.734905
415.0,1204,483.194236
195.0,1029,485.365334
35.0,498,486.332976
65.0,364,487.027937
75.0,626,488.335259
200.0,691,489.721297
165.0,865,491.503282
110.0,645,492.801024
720.0,1390,495.667454
140.0,800,497.22967
310.0,846,498.922047
40.0,388,499.660066
245.0,942,501.789054
100.0,504,502.97776
350.0,1229,505.875939
120.0,626,507.298225
390.0,1172,510.006323
385.0,879,512.077695
150.0,891,514.090241
180.0,951,516.338809
175.0,523,517.514026
130.0,699,519.110533
90.0,695,520.688546
80.0,647,522.003858
545.0,1337,524.655937
245.0,940,526.53676
80.0,612,527.742483
50.0,490,528.724365
135.0,539,529.746786
45.0,468,530.646693
755.0,1526,533.883367
140.0,897,535.781339
100.0,635,537.062532
60.0,516,538.069232
75.0,634,539.315089
120.0,640,540.566892
95.0,532,541.593829
225.0,904,543.400066
140.0,629,544.631215
120.0,374,545.313329
330.0,659,546.611995
330.0,772,548.17224
35.0,317,548.753159
125.0,644,549.988352
520.0,1134,552.280953
325.0,658,553.599942
135.0,862,555.33219
100.0,626,556.611004
195.0,1061,570.581926
215.0,946,572.515335
55.0,495,573.580965
145.0,877,575.407825
40.0,555,576.519779
50.0,357,577.17955
80.0,517,578.166228
20.0,409,578.989128
50.0,380,579.712573
65.0,499,580.717708
300.0,1071,582.902169
75.0,379,583.650152
70.0,373,584.329265
205.0,1029,586.392375
90.0,506,587.384076
150.0,533,588.472921
135.0,815,590.164223
110.0,590,591.33144
120.0,398,592.112556
45.0,372,592.833158
70.0,636,594.134871
140.0,674,595.521376
65.0,538,596.568955
95.0,406,597.335
80.0,530,598.357085
100.0,666,599.693153
50.0,346,600.345129
245.0,863,602.124003
285.0,1097,604.322327
120.0,803,605.915781
145.0,1001,607.972194
50.0,448,608.832863
70.0,602,610.032547
15.0,392,610.747853
760.0,1244,613.347407
30.0,564,614.488698
30.0,361,615.18609
55.0,457,616.070462
370.0,962,618.048982
105.0,416,618.876807
165.0,623,620.172031
175.0,756,621.743162
245.0,891,623.598317
70.0,505,624.611977
95.0,884,626.433771
520.0,1169,628.816629
255.0,908,630.665766
105.0,626,631.899969
225.0,740,633.397498
65.0,407,634.195765
180.0,957,636.167202
110.0,566,637.309704
40.0,523,638.290394
165.0,960,640.218178
350.0,866,641.939083
125.0,691,643.271518
80.0,349,643.940119
245.0,847,645.677969
20.0,343,646.309677
245.0,716,647.736547
335.0,1187,650.236863
110.0,620,651.451297
260.0,840,653.207388
60.0,379,653.95225
200.0,655,655.229164
110.0,689,656.664361
110.0,893,658.514632
200.0,923,660.414066
325.0,1012,662.488666
445.0,1087,664.734091
40.0,456,665.649537
55.0,335,666.260596
160.0,633,667.573902
95.0,802,669.237148
195.0,735,670.762593
135.0,683,672.134082
295.0,993,674.21349
250.0,1019,676.363306
85.0,487,677.355954
100.0,679,678.717985
205.0,774,680.301811
40.0,366,680.989166
165.0,680,682.316565
470.0,1067,684.591702
145.0,687,685.979055
360.0,1049,688.202689
280.0,1073,690.4668
60.0,340,691.070886
120.0,601,692.316215
150.0,662,693.636688
200.0,771,695.246851
65.0,560,696.395346
205.0,945,698.357961
105.0,456,699.237212
135.0,519,700.287292
85.0,473,701.242429
95.0,614,702.518711
170.0,701,704.006389
250.0,877,705.78339
115.0,527,706.840936
160.0,709,708.262752
45.0,483,709.236404
125.0,591,710.442576
85.0,721,711.903302
50.0,441,712.793939
205.0,669,714.164568
480.0,973,716.210915
320.0,951,718.193544
100.0,531,719.263205
80.0,490,720.250897
230.0,614,721.472093
295.0,1082,723.679264
115.0,653,725.020201
65.0,444,725.869292
90.0,622,727.155335
105.0,641,728.462586
220.0,732,729.953951
80.0,423,730.783742
185.0,644,732.100459
75.0,482,733.087363
125.0,649,734.396588
75.0,365,735.158381
90.0,518,736.224257
260.0,1007,738.31234
120.0,668,739.678028
235.0,1097,742.02984
185.0,995,758.373647
85.0,417,759.196893
95.0,453,760.107028
135.0,696,761.549256
90.0,804,763.239958
30.0,374,763.990152
170.0,645,765.328958
185.0,797,766.9992
50.0,406,767.785618
25.0,462,768.707876
275.0,908,770.78955
150.0,586,772.149644
240.0,709,773.92689
125.0,734,775.706273
55.0,458,776.785833
195.0,1068,779.369317
230.0,770,781.304441
185.0,903,783.564824
75.0,442,784.609916
160.0,547,785.887542
185.0,657,787.428498
280.0,1219,790.376945
95.0,673,791.983197
130.0,546,793.254405
140.0,885,795.383432
520.0,1263,798.461408
120.0,611,799.863366
80.0,488,800.979024
85.0,626,802.401803
195.0,1244,805.502439
70.0,526,806.693565
135.0,806,808.643563
300.0,1163,811.47634
370.0,1141,814.356309
170.0,647,815.924191
145.0,907,818.080147
530.0,1796,822.454314
155.0,844,824.469575
210.0,728,826.190937
220.0,749,827.886389
190.0,876,829.933455
280.0,851,831.957598
120.0,550,833.386029
95.0,642,834.92178
265.0,1030,837.346201
410.0,1163,840.113467
175.0,914,842.304281
165.0,791,844.194003
230.0,962,846.681122
65.0,695,848.373268
140.0,622,849.794604
305.0,933,851.993478
110.0,466,853.053965
325.0,1071,855.608047
180.0,817,857.5146
430.0,1247,860.52475
175.0,645,862.082229
385.0,778,864.005954
155.0,948,866.267758
175.0,982,868.670651
90.0,609,870.095507
100.0,632,871.633395
475.0,1189,874.53783
15.0,739,876.364599
245.0,768,878.179662
90.0,487,879.318668
135.0,667,880.917407
150.0,937,883.260432
125.0,636,884.792667
195.0,876,886.89927
165.0,661,888.460245
190.0,1002,890.843971
390.0,767,892.760989
590.0,1125,895.626594
115.0,692,897.263452
240.0,961,899.552353
115.0,687,901.147574
50.0,364,901.946913
305.0,886,904.109948
185.0,1026,906.583887
245.0,631,908.099716
125.0,685,909.742279
80.0,674,911.365085
125.0,687,912.995868
220.0,893,915.151236
135.0,701,916.821366
125.0,567,918.039751
290.0,853,919.872051
95.0,500,920.870023
135.0,909,922.843923
75.0,675,924.279783
340.0,1449,927.400525
70.0,541,928.490696
135.0,708,929.996967
105.0,691,931.433842
245.0,1073,933.772001
80.0,546,934.889669
60.0,668,936.288815
165.0,697,937.788297
255.0,1042,940.007616
180.0,752,941.63484
240.0,976,943.761127
140.0,719,945.295501
230.0,859,947.099218
45.0,777,948.791866
110.0,520,949.910032
30.0,636,951.233886
165.0,718,952.795183
105.0,644,954.1332
75.0,520,969.481801
255.0,1152,971.955371
460.0,987,974.048183
455.0,985,976.213123
140.0,827,977.993285
80.0,582,979.221347
215.0,947,981.249933
105.0,512,982.256061
355.0,781,983.931776
65.0,510,984.960905
40.0,511,986.043654
365.0,871,987.904873
200.0,805,989.623131
145.0,704,991.066946
155.0,679,992.469463
35.0,530,993.553326
200.0,830,995.363431
415.0,920,997.358158
25.0,616,998.653077
90.0,527,999.744289
285.0,873,1001.637794
70.0,541,1002.763068
265.0,967,1004.89913
135.0,928,1006.913534
235.0,1006,1009.095408
335.0,839,1010.918878
315.0,1098,1013.33409
275.0,1239,1016.03226
145.0,1062,1018.299625
275.0,1367,1021.235004
155.0,927,1023.229134
230.0,1255,1025.958317
110.0,705,1027.489215
125.0,612,1028.795894
390.0,1262,1031.50079
340.0,955,1033.593631
210.0,700,1035.130551
480.0,1298,1037.955945
110.0,669,1039.417641
110.0,503,1040.431364
130.0,1211,1043.133388
100.0,509,1044.146287
65.0,478,1045.105331
115.0,713,1046.659749
105.0,605,1047.945492
180.0,527,1049.062169
100.0,574,1050.301277
110.0,515,1051.331353
540.0,1262,1054.079082
20.0,413,1054.921691
250.0,820,1056.710099
95.0,803,1058.426452
90.0,640,1059.799057
195.0,941,1061.853924
20.0,459,1062.796176
155.0,953,1064.889568
250.0,926,1066.912108
170.0,934,1068.948388
340.0,1305,1071.803053
110.0,674,1073.224807
125.0,699,1074.744394
80.0,514,1075.779023
80.0,461,1076.759826
150.0,698,1078.228089
270.0,1024,1080.426303
195.0,1158,1082.926955
660.0,1244,1085.599286
120.0,558,1086.752683
125.0,520,1087.825864
