#{"t_start": 1768227135.8347297, "env_id": "SpaceInvaders-v0"}
r,l,t
135.0,1089,541.297907
530.0,1112,542.891676
125.0,632,543.786554
135.0,691,544.759941
85.0,520,545.531296
220.0,958,546.908074
120.0,632,547.772936
25.0,541,548.539741
75.0,600,549.399959
120.0,715,550.405142
65.0,627,551.294292
75.0,505,552.012637
410.0,690,568.436554
80.0,551,569.200334
50.0,566,570.006914
290.0,1130,571.633051
55.0,544,572.390957
85.0,595,573.208655
170.0,816,574.393519
140.0,738,575.48737
85.0,658,576.436019
90.0,393,576.964932
60.0,788,578.087382
210.0,718,579.107249
155.0,672,580.056562
220.0,945,596.343816
285.0,1039,597.851112
30.0,471,598.513193
110.0,490,599.176396
430.0,752,600.26239
120.0,483,600.924021
255.0,1044,602.468877
125.0,536,603.207457
135.0,567,604.00255
50.0,495,604.679648
125.0,742,605.745434
180.0,900,607.063125
305.0,1090,623.548344
105.0,603,624.405601
265.0,902,625.693344
240.0,994,627.116349
265.0,1129,628.711766
100.0,526,629.479506
110.0,695,630.485381
150.0,663,631.43227
60.0,535,632.168026
270.0,887,633.463206
210.0,1136,650.063145
155.0,718,651.068865
130.0,724,652.115828
180.0,683,653.047734
50.0,470,653.673944
255.0,806,654.842586
255.0,944,656.202083
230.0,1229,657.957322
65.0,448,658.552863
140.0,825,659.738085
105.0,502,660.446313
300.0,1031,661.970023
130.0,692,677.904105
185.0,937,679.24967
350.0,1209,680.990403
40.0,519,681.703522
135.0,504,682.382103
190.0,653,683.291927
145.0,677,684.220122
545.0,1555,686.454411
215.0,987,687.867348
405.0,895,689.125722
310.0,815,705.25943
525.0,1270,707.124336
95.0,637,707.985681
95.0,786,709.086008
180.0,887,710.360179
175.0,813,711.489934
135.0,792,712.623067
75.0,360,713.128569
285.0,870,714.333382
75.0,368,714.830938
230.0,935,716.187201
230.0,906,732.421725
140.0,695,733.400346
170.0,625,734.254217
40.0,608,735.101812
190.0,1103,736.661556
140.0,622,737.524837
130.0,654,738.431689
135.0,666,739.369634
460.0,1027,740.812093
250.0,799,741.936358
125.0,612,742.808126
245.0,927,759.051235
255.0,1227,760.833233
370.0,902,762.146376
315.0,1014,763.598667
265.0,898,764.856214
