#{"t_start": 1768227135.754219, "env_id": "SpaceInvaders-v0"}
r,l,t
55.0,559,540.61243
90.0,582,541.424459
395.0,976,542.793524
135.0,951,544.171323
140.0,668,545.115981
290.0,1130,546.760568
30.0,550,547.493139
50.0,654,548.438725
120.0,678,549.45547
55.0,698,550.439653
80.0,451,551.041273
20.0,479,551.73285
30.0,382,552.257692
335.0,1084,569.237844
225.0,1269,571.056481
175.0,819,572.199204
125.0,780,573.303168
110.0,661,574.225
110.0,637,575.13301
30.0,539,575.888476
130.0,555,576.667404
195.0,808,577.824085
195.0,696,578.814726
140.0,663,579.746363
30.0,400,595.206111
160.0,827,596.392812
260.0,899,597.688424
100.0,668,598.625217
65.0,555,599.408976
135.0,663,600.3549
15.0,522,601.083042
195.0,791,602.19667
65.0,650,603.110946
135.0,667,604.076059
245.0,1042,605.593834
155.0,618,606.440053
160.0,716,607.473884
90.0,661,623.345725
70.0,472,624.002565
505.0,1334,625.918378
80.0,539,626.637506
430.0,1214,628.35122
25.0,354,628.835794
65.0,457,629.4855
90.0,462,630.129324
340.0,870,631.365272
270.0,916,632.644574
125.0,492,633.338691
125.0,902,634.632615
330.0,685,650.576024
200.0,829,651.737478
60.0,599,652.588016
155.0,837,653.780456
135.0,519,654.500047
205.0,919,655.768201
60.0,527,656.525629
315.0,961,657.885812
565.0,1093,659.453063
115.0,581,660.273816
55.0,478,660.943881
75.0,414,661.487455
185.0,610,677.277047
365.0,972,678.646806
110.0,614,679.536213
180.0,832,680.714859
435.0,1475,682.839826
140.0,673,683.770484
105.0,388,684.278635
225.0,842,685.435861
265.0,1168,687.114004
105.0,582,687.899793
125.0,638,688.806663
180.0,736,704.808605
340.0,1161,706.4666
160.0,658,707.392883
255.0,781,708.501258
85.0,629,709.377063
70.0,635,710.248671
135.0,715,711.227295
180.0,857,712.446078
405.0,1222,714.207333
95.0,479,714.870451
100.0,515,715.605098
80.0,460,716.249201
215.0,720,732.193693
125.0,762,733.259837
300.0,1010,734.72877
225.0,743,735.775416
265.0,1003,737.248642
360.0,1002,738.695552
130.0,525,739.395141
165.0,748,740.454953
155.0,785,741.569813
220.0,930,742.880638
90.0,543,743.639239
145.0,681,759.524393
170.0,580,760.332665
230.0,865,761.577307
195.0,976,762.991587
155.0,593,763.817687
430.0,861,765.08204
120.0,559,765.863732
150.0,559,766.638005
120.0,706,767.647838
175.0,693,768.616971
375.0,1176,770.312212
270.0,969,786.644492
110.0,528,787.360484
410.0,1013,788.794696
115.0,537,789.51485
185.0,688,790.473759
135.0,600,791.268852
285.0,789,792.405461
110.0,419,792.956012
390.0,1321,794.850729
335.0,950,831.036342
295.0,890,832.461515
50.0,447,833.163731
320.0,892,853.894775
135.0,499,854.637899
115.0,629,855.598322
215.0,768,856.859923
225.0,849,858.248233
310.0,1113,859.956157
385.0,951,861.43764
130.0,723,862.567276
270.0,979,864.061961
200.0,968,865.589039
220.0,889,886.384018
170.0,675,887.610698
360.0,998,889.118535
275.0,1112,890.8691
190.0,706,891.955281
230.0,783,893.161395
180.0,931,894.649004
180.0,693,895.700509
165.0,949,897.209418
335.0,1047,898.836985
180.0,696,919.191049
95.0,499,919.937126
75.0,519,920.732429
290.0,886,922.10903
135.0,582,923.01438
90.0,461,923.704209
310.0,1084,925.384302
220.0,865,926.740282
420.0,975,928.264096
230.0,902,929.647637
190.0,709,930.72406
490.0,912,948.714615
250.0,1163,950.381321
230.0,699,951.329469
