#{"t_start": 1768227135.7937326, "env_id": "SpaceInvaders-v0"}
r,l,t
255.0,867,540.990634
105.0,715,542.013003
360.0,773,543.114697
30.0,343,543.597535
210.0,924,544.926454
60.0,431,545.556055
105.0,521,546.284495
470.0,1231,548.064225
155.0,675,549.059325
10.0,504,549.777754
90.0,513,550.499651
280.0,1243,567.818135
230.0,1094,569.373421
90.0,574,570.192542
180.0,987,571.588043
120.0,764,572.656087
185.0,690,573.645951
95.0,351,574.119133
50.0,590,574.968477
90.0,648,575.921468
210.0,710,576.943421
240.0,978,578.347119
100.0,494,579.031738
45.0,377,579.54529
180.0,886,595.76923
155.0,806,596.899385
265.0,905,598.189645
160.0,664,599.10688
110.0,398,599.635003
270.0,969,601.023528
35.0,393,601.55209
160.0,619,602.398367
185.0,692,603.378964
15.0,345,603.822521
180.0,944,605.191781
65.0,494,605.881445
65.0,643,606.771081
80.0,648,622.60358
75.0,438,623.198697
85.0,528,623.940049
35.0,525,624.69569
30.0,430,625.266762
300.0,903,626.514473
55.0,434,627.104342
325.0,1106,628.630244
180.0,677,629.608022
65.0,558,630.402862
320.0,1197,632.138508
120.0,637,633.039639
75.0,359,633.528204
125.0,637,634.401084
780.0,1271,651.223378
80.0,419,651.773964
230.0,1022,653.252749
175.0,1008,654.693558
175.0,802,655.826199
200.0,655,656.757655
300.0,849,657.947808
180.0,665,658.877965
230.0,762,659.961768
35.0,511,660.65784
55.0,392,661.189396
120.0,712,677.126015
275.0,1069,678.640292
190.0,833,679.819676
430.0,1585,682.090057
175.0,708,683.088393
60.0,555,683.852479
495.0,1115,685.449853
30.0,544,686.172886
170.0,1008,687.603737
55.0,562,688.390688
90.0,630,704.240005
175.0,943,705.563434
305.0,854,706.768683
175.0,795,707.905654
140.0,602,708.72903
240.0,665,709.687079
305.0,1020,711.12878
105.0,728,712.141001
125.0,553,712.902043
150.0,675,713.839273
100.0,635,714.740425
215.0,942,716.090163
125.0,580,731.835638
390.0,1036,733.317835
210.0,656,734.244221
325.0,985,735.649387
395.0,852,736.871586
145.0,764,737.949589
200.0,664,738.887061
250.0,895,740.169909
210.0,801,741.274136
125.0,594,742.108876
85.0,593,742.916129
140.0,580,743.705246
155.0,950,759.970605
665.0,1079,761.51229
200.0,676,762.463522
300.0,980,763.874687
360.0,944,765.204032
340.0,1073,766.757664
55.0,340,767.248775
215.0,979,768.667969
165.0,816,769.813151
135.0,660,770.741878
80.0,434,786.281882
95.0,513,787.010878
205.0,778,788.111598
390.0,937,789.440337
595.0,1119,791.024808
180.0,637,791.940904
145.0,568,792.725482
450.0,1093,794.283646
435.0,790,830.142734
90.0,536,830.965829
295.0,820,832.283489
200.0,1099,853.322358
110.0,672,854.355365
180.0,808,855.641811
710.0,1148,857.571982
160.0,739,858.685288
480.0,961,860.173018
105.0,554,861.023724
90.0,473,861.735669
290.0,1033,863.352377
180.0,643,864.341546
375.0,1047,865.962977
75.0,410,885.91116
165.0,655,887.071611
280.0,891,888.506897
300.0,1039,890.123585
205.0,825,891.362343
485.0,889,892.743547
235.0,995,894.301431
100.0,485,895.061718
185.0,590,895.930777
280.0,992,897.474425
455.0,1311,918.849194
135.0,717,919.967781
160.0,613,920.91906
170.0,871,922.297546
275.0,1054,923.970742
200.0,759,925.107484
255.0,1051,926.764776
95.0,523,927.52708
115.0,498,928.2741
180.0,542,929.059901
340.0,1159,930.887166
795.0,1322,949.433197
150.0,607,950.267298
215.0,740,951.329954
145.0,672,952.265093
200.0,950,953.636954
240.0,875,954.84723
140.0,654,955.777903
170.0,661,956.727196
360.0,1083,958.217536
335.0,957,959.586329
165.0,632,960.460453
210.0,639,976.277819
195.0,882,977.514091
435.0,1008,978.936987
530.0,1013,980.364705
190.0,795,981.45149
240.0,660,982.402417
540.0,969,983.77458
430.0,1040,985.237509
600.0,1588,987.483414
210.0,605,1003.248122
265.0,1009,1004.647302
170.0,614,1005.520777
545.0,918,1006.842759
150.0,649,1007.776264
60.0,443,1008.375085
185.0,685,1009.338517
365.0,960,1010.746874
435.0,1391,1012.743322
280.0,1104,1014.304297
735.0,1152,1030.830754
380.0,1039,1032.316943
250.0,934,1033.628444
115.0,530,1034.352545
145.0,523,1035.081703
420.0,969,1036.485915
250.0,903,1037.785378
110.0,887,1039.043894
605.0,1084,1040.562424
275.0,875,1041.819264
225.0,979,1058.100303
80.0,574,1058.892495
430.0,1150,1060.52596
145.0,643,1061.453271
320.0,899,1062.7067
160.0,636,1063.602835
255.0,1063,1065.121648
325.0,1092,1066.68783
205.0,764,1067.798866
155.0,819,1068.936943
120.0,551,1084.654027
120.0,624,1085.536264
345.0,942,1086.915132
175.0,897,1088.1795
595.0,1244,1089.963785
440.0,1100,1091.531992
190.0,761,1092.634485
175.0,663,1093.526731
75.0,524,1094.269741
170.0,673,1095.187982
400.0,1010,1111.54354
105.0,617,1112.389511
75.0,802,1113.543042
125.0,561,1114.285965
375.0,878,1115.511147
190.0,920,1116.800738
455.0,1248,1153.219125
395.0,1079,1154.771124
