#{"t_start": 1768227135.8752177, "env_id": "SpaceInvaders-v0"}
r,l,t
60.0,484,540.354398
50.0,532,541.086912
180.0,997,542.502362
115.0,665,543.466541
165.0,859,544.683948
55.0,390,545.220001
50.0,639,546.112504
240.0,873,547.364137
40.0,665,548.342726
120.0,504,549.045347
160.0,980,550.492674
80.0,615,551.373321
100.0,582,552.176696
85.0,779,568.733872
150.0,772,569.832022
105.0,528,570.540132
100.0,628,571.414047
275.0,1003,572.835896
120.0,754,573.890455
70.0,529,574.631564
365.0,859,575.921493
290.0,952,577.320488
185.0,857,578.524673
170.0,788,579.647364
65.0,457,595.230132
225.0,883,596.497851
80.0,595,597.306141
105.0,779,598.401199
130.0,793,599.566518
275.0,760,600.628512
90.0,649,601.584118
145.0,647,602.499395
95.0,582,603.324982
160.0,674,604.282103
30.0,400,604.847184
160.0,970,606.255536
35.0,362,606.766104
205.0,934,623.0107
115.0,614,623.871562
215.0,781,624.982239
305.0,1014,626.45799
515.0,1362,628.367731
120.0,446,628.986444
255.0,802,630.153354
155.0,769,631.224273
270.0,876,632.45407
135.0,650,633.393206
105.0,543,634.153568
165.0,723,650.141825
55.0,358,650.602204
205.0,866,651.832309
140.0,595,652.650044
240.0,988,654.052508
95.0,443,654.67658
200.0,934,656.007565
810.0,1135,657.605798
150.0,755,658.689965
150.0,664,659.61109
470.0,972,661.017904
140.0,700,676.94437
175.0,670,677.882621
230.0,760,678.937138
155.0,966,680.300323
155.0,807,681.444013
165.0,681,682.376615
485.0,1313,684.286141
155.0,634,685.160341
180.0,844,686.321411
160.0,651,687.22954
245.0,911,688.555252
150.0,723,704.565577
180.0,945,705.916024
475.0,793,707.048847
380.0,1132,708.680549
160.0,866,709.936157
305.0,1142,711.562959
145.0,811,712.718103
340.0,1109,714.312896
250.0,702,715.301076
285.0,1084,731.782152
315.0,920,733.064325
265.0,799,734.189729
435.0,1131,735.811928
370.0,870,737.042639
315.0,1057,738.563553
650.0,1448,740.643096
220.0,682,741.602321
115.0,679,742.566619
155.0,690,743.562756
215.0,732,759.5199
315.0,1095,761.081263
180.0,785,762.233021
215.0,724,763.268637
495.0,1022,764.727217
60.0,518,765.426227
270.0,1019,766.899216
175.0,834,768.104912
110.0,581,768.904701
185.0,815,770.062701
160.0,597,770.903942
120.0,576,786.640879
110.0,542,787.3995
585.0,1294,789.235266
205.0,751,790.282246
600.0,1126,791.909419
50.0,375,792.41797
420.0,1206,794.15316
130.0,662,795.102287
225.0,803,831.148907
110.0,567,832.000743
170.0,807,833.274264
130.0,636,853.55541
135.0,671,854.575413
110.0,424,855.192237
155.0,946,856.772437
135.0,488,857.542496
70.0,471,858.235744
275.0,937,859.680648
415.0,796,860.907239
145.0,628,861.909715
245.0,751,863.05436
135.0,691,864.103988
170.0,591,864.987635
195.0,659,865.9986
430.0,1479,887.944753
155.0,733,889.049537
240.0,1054,890.7001
400.0,921,892.134475
105.0,440,892.791087
290.0,848,894.123434
280.0,1004,895.717773
140.0,544,896.555133
35.0,449,897.217921
140.0,521,897.975795
125.0,575,898.850499
145.0,613,919.08105
75.0,508,919.864128
140.0,902,921.287457
265.0,909,922.679838
165.0,648,923.688228
105.0,586,924.559695
155.0,768,925.714977
80.0,427,926.329963
170.0,868,927.674366
360.0,1121,929.443445
275.0,960,930.966193
70.0,563,931.840493
200.0,1162,950.058298
530.0,1243,951.828067
300.0,943,953.168409
175.0,620,953.997623
470.0,1101,955.591394
135.0,613,956.449682
445.0,1100,957.977019
445.0,850,959.1568
540.0,978,960.554997
600.0,1570,977.749136
135.0,558,978.495462
305.0,953,979.833204
370.0,1292,981.67756
440.0,956,983.036308
615.0,1307,984.895486
400.0,683,985.856731
410.0,1239,987.595448
465.0,1305,1004.379694
225.0,725,1005.413289
375.0,1038,1006.915306
185.0,847,1008.152081
215.0,1020,1009.609203
565.0,1256,1011.423512
195.0,1018,1012.869017
265.0,846,1014.090539
270.0,846,1030.18816
155.0,554,1030.953819
250.0,794,1032.079432
170.0,688,1033.049877
220.0,890,1034.29706
215.0,635,1035.166252
120.0,704,1036.141407
220.0,588,1036.980503
445.0,868,1038.208025
165.0,665,1039.164428
290.0,1045,1040.651246
255.0,964,1042.046331
80.0,445,1057.528759
370.0,959,1058.87152
495.0,1142,1060.508474
130.0,601,1061.343785
260.0,864,1062.575975
155.0,478,1063.23732
375.0,825,1064.424487
390.0,811,1065.593673
290.0,1055,1067.126422
245.0,967,1068.487411
90.0,499,1069.151993
360.0,895,1085.375336
125.0,626,1086.256047
85.0,561,1087.032318
305.0,1202,1088.73848
340.0,851,1089.918301
450.0,1490,1092.062819
355.0,1000,1093.509248
270.0,936,1094.830946
510.0,1117,1111.354544
345.0,1077,1112.888629
385.0,1044,1114.398512
600.0,1147,1116.020666
305.0,1156,1117.680678
420.0,1008,1153.800933
135.0,522,1154.507611
85.0,571,1155.291119
275.0,778,1156.389472
550.0,1135,1158.002248
195.0,671,1173.86091
690.0,1407,1175.861826
305.0,993,1177.257609
370.0,959,1178.629361
275.0,917,1179.939926
420.0,1171,1181.789411
100.0,541,1182.601521
270.0,789,1183.852714
110.0,624,1184.803256
130.0,620,1185.768885
285.0,864,1206.502501
165.0,599,1207.387247
90.0,486,1208.097542
190.0,776,1209.324785
185.0,790,1210.548752
475.0,1006,1212.104127
110.0,628,1213.089735
145.0,599,1213.995869
295.0,1002,1215.540665
285.0,921,1217.11081
180.0,641,1218.075475
325.0,999,1238.876824
165.0,677,1239.900659
260.0,870,1241.216212
330.0,1020,1242.765028
445.0,1173,1244.574303
225.0,1013,1246.175001
525.0,1097,1248.047759
185.0,657,1249.044351
210.0,1066,1250.675537
410.0,984,1271.585521
165.0,600,1272.511226
390.0,1131,1274.276145
80.0,522,1275.053294
100.0,606,1275.970892
130.0,479,1276.742982
455.0,1165,1278.627864
155.0,643,1279.586272
385.0,1030,1281.17509
280.0,1095,1282.888724
280.0,943,1303.630079
90.0,559,1304.454834
495.0,1354,1306.606153
330.0,1113,1308.411511
95.0,689,1309.44662
350.0,725,1310.545112
470.0,1165,1312.32976
200.0,773,1313.482713
410.0,1088,1315.159795
225.0,883,1316.580352
55.0,463,1332.50537
145.0,629,1333.39399
175.0,655,1334.295281
390.0,837,1335.47145
655.0,1263,1337.284904
80.0,607,1338.140599
150.0,599,1338.971841
415.0,1225,1340.714482
125.0,616,1341.538602
240.0,724,1342.53476
205.0,672,1343.469594
410.0,1446,1360.39037
395.0,1053,1361.893649
300.0,1072,1363.433486
375.0,1359,1365.352693
475.0,779,1366.435898
245.0,1037,1367.916129
215.0,1130,1369.500632
380.0,1064,1370.995675
410.0,1422,1387.983705
130.0,500,1388.649041
285.0,974,1390.0136
440.0,1096,1391.565572
295.0,1059,1393.043211
385.0,1162,1394.673741
155.0,841,1395.865572
310.0,1062,1397.368145
275.0,1008,1413.628503
90.0,393,1414.187615
145.0,525,1414.896775
190.0,958,1416.254938
435.0,1098,1417.769071
255.0,935,1419.080832
130.0,640,1419.966013
180.0,910,1421.259417
240.0,911,1422.541525
